Timestamp,What Candy Are you sampling?,Sour Branding (Submit BEFORE eating the candy),Sour Intensity,Sour Duration,Mouth Feel,Any Comments?,What type of graph do you think would best represent the flavor of this candy?
7/18/2026 8:23:15,Haribo Twin Snakes,1,1,3,2,Way too hard,
7/18/2026 8:23:28,Haribo Twin Snakes,1,3,2,2,Ate in one bit,
7/18/2026 8:23:36,Haribo Twin Snakes,2,4,4,5,,Histogram
7/18/2026 8:24:49,Haribo Twin Snakes,1,2,2,1,Slimy?,Heat map
7/18/2026 8:24:50,Haribo Twin Snakes,2,2,2,2,Too hard,
7/18/2026 8:32:23,Haribo Twin Snakes,2,4,2,2,,
7/18/2026 8:55:23,Haribo Twin Snakes,3,1,1,4,Not very sour ,
7/18/2026 8:58:02,Haribo Twin Snakes,1,2,1,2,It was okay. I’m not a huge sour fan so I could sit and eat a bunch of these.,Radar chart
7/18/2026 9:16:27,Haribo Twin Snakes,1,1,1,2,,
7/18/2026 9:26:18,Haribo Twin Snakes,2,3,4,2,"Too big of a candy, I made sure to eat it all at once to avoid increasing the sour duration that comes from eating the second half, halfway through.",
7/18/2026 9:37:05,Haribo Twin Snakes,4,1,2,1,,
7/18/2026 12:55:35,Haribo Twin Snakes,3,4,4,5,"Sour is through whole candy, not just in coating",
7/18/2026 13:31:24,Haribo Twin Snakes,2,4,5,3,,Twin violin plots
7/18/2026 13:33:00,Haribo Twin Snakes,2,2,2,1,"I felt meh,",box plot with outliers
7/18/2026 13:33:00,Haribo Twin Snakes,1,1,2,3,Ok but more like Haribo not very sour,Snake
7/18/2026 13:54:59,Haribo Twin Snakes,1,2,3,3,,Constant
