Timestamp,What Candy Are you sampling?,Sour Branding (Submit BEFORE eating the candy),Sour Intensity,Sour Duration,Mouth Feel,Any Comments?,What type of graph do you think would best represent the flavor of this candy?
7/18/2026 8:45:09,Sour Patch Kids Strips,3,1,2,3,,
7/18/2026 8:45:56,Sour Patch Kids Strips,3,2,2,1,,
7/18/2026 8:45:58,Sour Patch Kids Strips,3,3,3,4,,
7/18/2026 8:46:05,Sour Patch Kids Strips,3,3,4,1,My teeth feel weird,Tastebud map
7/18/2026 8:46:45,Sour Patch Kids Strips,4,3,3,2,I tried these once and really didnt like them. They are more sour than I remember,Bar chart
7/18/2026 8:48:14,Sour Patch Kids Strips,4,1,2,5,"It was not as sour as it says big on package, more of sweet. Can feel the sour from the powder but once it’s gone, it’s just seeet ",Sourness over time? 
7/18/2026 9:09:16,Sour Patch Kids Strips,4,3,1,1,It was more bitter than sour. Grainy.,Radar
7/18/2026 9:09:25,Sour Patch Kids Strips,4,2,2,2,Didn’t like the texture the sour wasn’t intense ,
7/18/2026 9:37:31,Sour Patch Kids Strips,4,2,2,1,"This one tastes like a disinfectant or bleach lol. Not sour, just weird.",
7/18/2026 9:48:52,Sour Patch Kids Strips,4,3,2,4,,
7/18/2026 11:09:34,Sour Patch Kids Strips,3,4,5,5,I think this was cleverly designed by food chemists to make the granules sink into a firm gummy substrate in which it would dissolve slowly with even intensity. The flavor lingered without being overwhelming for ~15 minutes.,spider style attribute plot (aka radar diagram)
