Timestamp,What Candy Are you sampling?,Sour Branding (Submit BEFORE eating the candy),Sour Intensity,Sour Duration,Mouth Feel,Any Comments?,What type of graph do you think would best represent the flavor of this candy?
7/18/2026 9:08:18,Trolli Sour Brite Crawlers,3,3,2,3,,
7/18/2026 9:08:38,Trolli Sour Brite Crawlers,3,3,1,3,,
7/18/2026 9:09:01,Trolli Sour Brite Crawlers,2,4,3,4,,
7/18/2026 9:09:17,Trolli Sour Brite Crawlers,2,3,2,2,Finally something that tastes half decent,Polar map
7/18/2026 9:17:13,Trolli Sour Brite Crawlers,3,3,3,2,,
7/18/2026 9:23:09,Trolli Sour Brite Crawlers,3,4,1,4,Yummy,Radar
7/18/2026 9:23:47,Trolli Sour Brite Crawlers,4,4,2,4,Pleasant flavor more intense than previous candies ,
7/18/2026 10:38:40,Trolli Sour Brite Crawlers,2,4,2,3,,
7/18/2026 13:34:39,Trolli Sour Brite Crawlers,2,5,1,3,,
7/18/2026 13:56:48,Trolli Sour Brite Crawlers,3,3,4,3,,
7/18/2026 14:11:04,Trolli Sour Brite Crawlers,3,4,3,3,I like the sugar it balnced the sour while being quite source,use squiggly fonts
7/18/2026 14:17:38,Trolli Sour Brite Crawlers,3,4,2,4,Good fruity aroma,
